acc_status,duration,credit_history,purpose,credit_amt,savings,employment,instalment,personal_status,debtors,residence,property,age,other_instalments,housing,number_of_credit,job,people,telephone,foreign_worker,default
no,12,existing credits paid back duly till now,radio/television,707,<100,"3:[1,4 years)",4,male: single,none,2,real estate,30,bank,own,2,skilled employee/official,1,no,yes,0
no,24,delay in paying off in the past,business,2978,unknown/no savings account,"3:[1,4 years)",4,male: single,none,4,real estate,32,none,own,2,skilled employee/official,2,yes,yes,0
no,15,existing credits paid back duly till now,car (used),4657,<100,"3:[1,4 years)",3,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,none,own,1,skilled employee/official,1,yes,yes,0
no,36,no credits taken/all credits paid back duly,repairs,2613,<100,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",27,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",48,existing credits paid back duly till now,radio/television,10961,1000+,"4:[4,7 years)",1,male: single,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee/official,1,yes,yes,1
<0,12,existing credits paid back duly till now,furniture/equipment,7865,<100,5:7+ years,4,male: single,none,4,unknown / no property,53,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,9,existing credits paid back duly till now,radio/television,1478,<100,"4:[4,7 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",22,none,own,1,skilled employee/official,1,no,yes,1
<0,24,existing credits paid back duly till now,furniture/equipment,3149,<100,2:<1 year,4,male: single,none,1,unknown / no property,22,bank,for free,1,skilled employee/official,1,no,yes,0
200+,36,existing credits paid back duly till now,radio/television,4210,<100,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",26,none,own,1,skilled employee/official,1,no,yes,1
no,9,existing credits paid back duly till now,ar (new),2507,"[500,1000)",5:7+ years,2,male: single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,no,yes,0
no,12,existing credits paid back duly till now,radio/television,2141,"[100,500)","4:[4,7 years)",3,male: single,none,1,unknown / no property,35,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,radio/television,866,<100,"3:[1,4 years)",4,male: married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,no,yes,0
no,4,critical account/other credits existing (not at this bank),radio/television,1544,<100,"4:[4,7 years)",2,male: single,none,1,real estate,42,none,own,3,unskilled - resident,2,no,yes,0
<0,24,existing credits paid back duly till now,radio/television,1823,<100,1:unemployed,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,stores,own,1,management/self-employed/highly qualified employee/officer,2,no,yes,1
"[0,200)",6,existing credits paid back duly till now,ar (new),14555,unknown/no savings account,1:unemployed,1,male: single,none,2,if not A121 : building society savings agreement/life insurance,23,none,own,1,unemployed/unskilled non-resident,1,yes,yes,1
"[0,200)",21,existing credits paid back duly till now,business,2767,"[100,500)",5:7+ years,4,male: divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute",61,bank,rent,2,unskilled - resident,1,no,yes,1
no,12,critical account/other credits existing (not at this bank),radio/television,1291,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,0
<0,30,existing credits paid back duly till now,radio/television,2522,<100,5:7+ years,1,male: single,guarantor,3,if not A121 : building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,no,yes,0
<0,24,existing credits paid back duly till now,ar (new),915,unknown/no savings account,5:7+ years,4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",29,bank,own,1,skilled employee/official,1,no,yes,1
no,6,existing credits paid back duly till now,radio/television,1595,<100,"4:[4,7 years)",3,male: single,none,2,if not A121 : building society savings agreement/life insurance,51,none,own,1,skilled employee/official,2,no,yes,0
<0,48,no credits taken/all credits paid back duly,car (used),4605,<100,5:7+ years,3,male: single,none,4,unknown / no property,24,none,for free,2,skilled employee/official,2,no,yes,1
no,12,critical account/other credits existing (not at this bank),business,1185,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,no,yes,0
no,12,all credits at this bank paid back duly,retraining,3447,"[500,1000)","3:[1,4 years)",4,female: divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,0
no,24,existing credits paid back duly till now,business,1258,<100,"4:[4,7 years)",4,male: single,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),radio/television,717,<100,5:7+ years,4,male: single,none,4,real estate,52,none,own,3,skilled employee/official,1,no,yes,0
no,6,no credits taken/all credits paid back duly,ar (new),1204,"[100,500)","3:[1,4 years)",4,male: single,none,1,unknown / no property,35,bank,rent,1,skilled employee/official,1,no,no,0
200+,24,existing credits paid back duly till now,furniture/equipment,1925,<100,"3:[1,4 years)",2,male: single,none,2,real estate,26,none,own,1,skilled employee/official,1,no,yes,0
no,18,existing credits paid back duly till now,radio/television,433,<100,1:unemployed,3,female: divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,no,yes,1
<0,6,critical account/other credits existing (not at this bank),ar (new),666,1000+,"4:[4,7 years)",3,female: divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,0
200+,12,existing credits paid back duly till now,furniture/equipment,2251,<100,"3:[1,4 years)",1,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",46,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",30,existing credits paid back duly till now,ar (new),2150,<100,"3:[1,4 years)",4,female: divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee/official,1,no,yes,1
no,24,delay in paying off in the past,furniture/equipment,4151,"[100,500)","3:[1,4 years)",2,male: single,none,3,if not A121 : building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",9,existing credits paid back duly till now,furniture/equipment,2030,unknown/no savings account,"4:[4,7 years)",2,male: single,none,1,"if not A121/A122 : car or other, not in attribute",24,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",60,delay in paying off in the past,radio/television,7418,unknown/no savings account,"3:[1,4 years)",1,male: single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,0
no,24,critical account/other credits existing (not at this bank),radio/television,2684,<100,"3:[1,4 years)",4,male: single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,0
<0,12,all credits at this bank paid back duly,radio/television,2149,<100,"3:[1,4 years)",4,male: divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee/official,1,no,yes,1
no,15,existing credits paid back duly till now,car (used),3812,"[100,500)",2:<1 year,1,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",23,none,own,1,skilled employee/official,1,yes,yes,0
no,11,critical account/other credits existing (not at this bank),radio/television,1154,"[100,500)",1:unemployed,4,female: divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,0
<0,12,existing credits paid back duly till now,furniture/equipment,1657,<100,"3:[1,4 years)",2,male: single,none,2,real estate,27,none,own,1,skilled employee/official,1,no,yes,0
<0,24,existing credits paid back duly till now,radio/television,1603,<100,5:7+ years,4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",55,none,own,1,skilled employee/official,1,no,yes,0
<0,18,critical account/other credits existing (not at this bank),ar (new),5302,<100,5:7+ years,2,male: single,none,4,unknown / no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),education,2748,<100,5:7+ years,2,female: divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,no,yes,0
no,10,critical account/other credits existing (not at this bank),ar (new),1231,<100,5:7+ years,3,male: single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,0
"[0,200)",15,existing credits paid back duly till now,radio/television,802,<100,5:7+ years,4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",37,none,own,1,skilled employee/official,2,no,yes,1
no,36,critical account/other credits existing (not at this bank),business,6304,unknown/no savings account,5:7+ years,4,male: single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,0
no,24,existing credits paid back duly till now,radio/television,1533,<100,2:<1 year,4,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",38,stores,own,1,skilled employee/official,1,yes,yes,0
<0,14,existing credits paid back duly till now,ar (new),8978,<100,5:7+ years,1,male: divorced/separated,none,4,if not A121 : building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,1
no,24,existing credits paid back duly till now,radio/television,999,unknown/no savings account,5:7+ years,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",25,none,own,2,skilled employee/official,1,no,yes,0
no,18,existing credits paid back duly till now,ar (new),2662,unknown/no savings account,"4:[4,7 years)",4,male: single,none,3,if not A121 : building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,0
no,12,critical account/other credits existing (not at this bank),furniture/equipment,1402,"[500,1000)","4:[4,7 years)",3,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",37,none,rent,1,skilled employee/official,1,yes,yes,0
"[0,200)",48,all credits at this bank paid back duly,ar (new),12169,unknown/no savings account,1:unemployed,4,male: single,co-applicant,4,unknown / no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",48,existing credits paid back duly till now,radio/television,3060,<100,"4:[4,7 years)",4,male: single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,1
<0,30,existing credits paid back duly till now,repairs,11998,<100,2:<1 year,1,male: divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,yes,yes,1
no,9,existing credits paid back duly till now,radio/television,2697,<100,"3:[1,4 years)",1,male: single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,0
no,18,critical account/other credits existing (not at this bank),radio/television,2404,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",26,none,own,2,skilled employee/official,1,no,yes,0
<0,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings account,5:7+ years,2,male: divorced/separated,none,4,if not A121 : building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,0
no,6,existing credits paid back duly till now,furniture/equipment,4611,<100,2:<1 year,1,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,1
no,24,existing credits paid back duly till now,radio/television,1901,"[100,500)","3:[1,4 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,15,critical account/other credits existing (not at this bank),car (used),3368,1000+,5:7+ years,3,male: single,none,4,unknown / no property,23,none,rent,2,skilled employee/official,1,yes,yes,0
no,12,existing credits paid back duly till now,furniture/equipment,1574,<100,"3:[1,4 years)",4,male: single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,0
200+,18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings account,"4:[4,7 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",49,bank,own,1,unskilled - resident,1,no,yes,0
no,15,critical account/other credits existing (not at this bank),furniture/equipment,1520,unknown/no savings account,5:7+ years,4,male: single,none,4,if not A121 : building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",24,critical account/other credits existing (not at this bank),ar (new),3878,"[100,500)",2:<1 year,4,male: divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute",37,none,own,1,skilled employee/official,1,yes,yes,0
<0,47,existing credits paid back duly till now,ar (new),10722,<100,2:<1 year,1,female: divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,0
<0,48,existing credits paid back duly till now,car (used),4788,<100,"4:[4,7 years)",4,male: single,none,3,if not A121 : building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,0
"[0,200)",48,delay in paying off in the past,others,7582,"[100,500)",1:unemployed,2,male: single,none,4,unknown / no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,1092,<100,"3:[1,4 years)",4,female: divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,0
<0,24,delay in paying off in the past,radio/television,1024,<100,2:<1 year,4,male: married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,1
no,12,existing credits paid back duly till now,business,1076,<100,"3:[1,4 years)",2,male: married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,0
"[0,200)",36,existing credits paid back duly till now,car (used),9398,<100,2:<1 year,1,male: married/widowed,none,4,"if not A121/A122 : car or other, not in attribute",28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
<0,24,critical account/other credits existing (not at this bank),car (used),6419,<100,5:7+ years,2,female: divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0
200+,42,critical account/other credits existing (not at this bank),car (used),4796,<100,5:7+ years,4,male: single,none,4,unknown / no property,56,none,for free,1,skilled employee/official,1,no,yes,0
no,48,critical account/other credits existing (not at this bank),business,7629,unknown/no savings account,5:7+ years,4,male: divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute",46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,0
"[0,200)",48,existing credits paid back duly till now,furniture/equipment,9960,<100,2:<1 year,1,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",26,none,own,1,skilled employee/official,1,yes,yes,1
no,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,2:<1 year,1,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",20,none,rent,1,skilled employee/official,1,no,yes,0
no,10,existing credits paid back duly till now,ar (new),1287,unknown/no savings account,5:7+ years,4,male: single,co-applicant,2,if not A121 : building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,0
no,18,existing credits paid back duly till now,furniture/equipment,2515,<100,"3:[1,4 years)",3,male: single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",21,critical account/other credits existing (not at this bank),furniture/equipment,2745,1000+,"4:[4,7 years)",3,male: single,none,2,"if not A121/A122 : car or other, not in attribute",32,none,own,2,skilled employee/official,1,yes,yes,0
no,6,existing credits paid back duly till now,ar (new),672,<100,1:unemployed,1,female: divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled non-resident,1,yes,yes,0
"[0,200)",36,no credits taken/all credits paid back duly,radio/television,3804,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",42,none,own,1,skilled employee/official,1,yes,yes,1
200+,24,critical account/other credits existing (not at this bank),ar (new),1344,unknown/no savings account,"4:[4,7 years)",4,male: single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,1
<0,10,critical account/other credits existing (not at this bank),ar (new),1038,<100,"4:[4,7 years)",4,male: single,co-applicant,3,if not A121 : building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,0
no,48,critical account/other credits existing (not at this bank),ar (new),10127,"[500,1000)","3:[1,4 years)",2,male: single,none,2,unknown / no property,44,bank,for free,1,skilled employee/official,1,no,yes,1
no,6,existing credits paid back duly till now,furniture/equipment,1543,1000+,"3:[1,4 years)",4,male: divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,0
no,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,"4:[4,7 years)",2,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,0
<0,12,existing credits paid back duly till now,radio/television,727,"[100,500)",2:<1 year,4,male: married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,yes,yes,1
"[0,200)",8,existing credits paid back duly till now,furniture/equipment,1237,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",9,existing credits paid back duly till now,ar (new),276,<100,"3:[1,4 years)",4,male: married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,0
"[0,200)",48,existing credits paid back duly till now,others,5381,unknown/no savings account,1:unemployed,3,male: single,none,4,unknown / no property,40,bank,for free,1,unemployed/unskilled non-resident,1,yes,yes,0
no,24,existing credits paid back duly till now,furniture/equipment,5511,"[100,500)","3:[1,4 years)",4,male: single,none,1,"if not A121/A122 : car or other, not in attribute",25,stores,own,1,skilled employee/official,1,no,yes,0
200+,24,existing credits paid back duly till now,furniture/equipment,3749,<100,2:<1 year,2,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",26,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,ar (new),685,<100,"4:[4,7 years)",2,male: married/widowed,none,3,"if not A121/A122 : car or other, not in attribute",25,bank,own,1,unskilled - resident,1,no,yes,1
200+,4,existing credits paid back duly till now,ar (new),1494,unknown/no savings account,2:<1 year,1,male: single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,0
<0,36,all credits at this bank paid back duly,furniture/equipment,2746,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",31,bank,own,1,skilled employee/official,1,no,yes,1
<0,12,existing credits paid back duly till now,furniture/equipment,708,<100,"3:[1,4 years)",2,male: single,guarantor,3,if not A121 : building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,0
"[0,200)",24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings account,"3:[1,4 years)",1,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),education,701,<100,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",32,none,own,2,skilled employee/official,1,no,yes,0
<0,15,delay in paying off in the past,furniture/equipment,3643,<100,5:7+ years,1,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,0
"[0,200)",30,critical account/other credits existing (not at this bank),ar (new),4249,<100,1:unemployed,4,male: married/widowed,none,2,"if not A121/A122 : car or other, not in attribute",28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1
<0,24,existing credits paid back duly till now,radio/television,1938,<100,2:<1 year,4,male: divorced/separated,none,3,if not A121 : building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,1
<0,24,existing credits paid back duly till now,car (used),2910,<100,"4:[4,7 years)",2,male: single,none,1,unknown / no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,18,existing credits paid back duly till now,furniture/equipment,2659,1000+,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",28,none,own,1,skilled employee/official,1,no,yes,0
no,18,critical account/other credits existing (not at this bank),ar (new),1028,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,0
<0,8,critical account/other credits existing (not at this bank),ar (new),3398,<100,"4:[4,7 years)",1,male: single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,0
no,12,critical account/other credits existing (not at this bank),furniture/equipment,5801,unknown/no savings account,5:7+ years,2,male: single,none,4,if not A121 : building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,0
no,24,existing credits paid back duly till now,ar (new),1525,1000+,"4:[4,7 years)",4,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",34,none,own,1,skilled employee/official,2,yes,yes,0
200+,36,existing credits paid back duly till now,radio/television,4473,<100,5:7+ years,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",31,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",6,existing credits paid back duly till now,radio/television,1068,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",28,none,own,1,skilled employee/official,2,no,yes,0
<0,24,critical account/other credits existing (not at this bank),car (used),6615,<100,1:unemployed,2,male: single,none,4,unknown / no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,18,critical account/other credits existing (not at this bank),education,1864,"[100,500)","3:[1,4 years)",4,female: divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,1
"[0,200)",60,existing credits paid back duly till now,ar (new),7408,"[100,500)",2:<1 year,4,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
no,48,critical account/other credits existing (not at this bank),car (used),11590,"[100,500)","3:[1,4 years)",2,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",24,bank,rent,2,unskilled - resident,1,no,yes,1
<0,24,no credits taken/all credits paid back duly,furniture/equipment,4110,<100,5:7+ years,3,male: single,none,4,unknown / no property,23,bank,rent,2,skilled employee/official,2,no,yes,1
<0,6,critical account/other credits existing (not at this bank),furniture/equipment,3384,<100,"3:[1,4 years)",1,male: divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
"[0,200)",13,existing credits paid back duly till now,radio/television,2101,<100,2:<1 year,2,female: divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,0
<0,15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings account,"3:[1,4 years)",4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",24,none,rent,1,skilled employee/official,1,no,yes,1
<0,24,existing credits paid back duly till now,furniture/equipment,4169,<100,"3:[1,4 years)",4,male: single,none,4,if not A121 : building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",10,existing credits paid back duly till now,furniture/equipment,1521,<100,"3:[1,4 years)",4,male: divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute",31,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",24,critical account/other credits existing (not at this bank),education,5743,<100,2:<1 year,2,female: divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee/official,1,yes,yes,0
<0,21,existing credits paid back duly till now,furniture/equipment,3599,<100,"4:[4,7 years)",1,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",26,none,rent,1,unskilled - resident,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,radio/television,3213,"[500,1000)",2:<1 year,1,male: married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,business,4439,<100,5:7+ years,1,male: single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
200+,10,existing credits paid back duly till now,ar (new),3949,<100,2:<1 year,1,male: single,guarantor,1,if not A121 : building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,0
no,15,critical account/other credits existing (not at this bank),radio/television,1459,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",43,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",13,critical account/other credits existing (not at this bank),radio/television,882,<100,2:<1 year,4,male: single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",24,existing credits paid back duly till now,radio/television,3758,"[500,1000)",1:unemployed,1,female: divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/unskilled non-resident,1,no,yes,0
no,6,delay in paying off in the past,business,1743,"[100,500)","3:[1,4 years)",1,male: single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,0
"[0,200)",9,critical account/other credits existing (not at this bank),education,1136,1000+,5:7+ years,4,male: single,none,3,unknown / no property,32,none,for free,2,skilled employee/official,2,no,yes,1
no,9,existing credits paid back duly till now,domestic appliances,1236,<100,2:<1 year,1,female: divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,0
"[0,200)",9,existing credits paid back duly till now,furniture/equipment,959,<100,"3:[1,4 years)",1,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",29,none,own,1,skilled employee/official,1,no,no,1
no,18,critical account/other credits existing (not at this bank),car (used),3229,unknown/no savings account,1:unemployed,2,male: single,none,4,unknown / no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,12,no credits taken/all credits paid back duly,radio/television,6199,<100,"3:[1,4 years)",4,male: single,none,2,if not A121 : building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,1
no,10,existing credits paid back duly till now,education,727,"[500,1000)",5:7+ years,4,male: single,none,4,unknown / no property,46,none,for free,1,skilled employee/official,1,yes,yes,0
"[0,200)",24,existing credits paid back duly till now,ar (new),1246,<100,2:<1 year,4,male: single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,1
no,12,critical account/other credits existing (not at this bank),radio/television,2331,unknown/no savings account,5:7+ years,1,male: single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,0
no,36,delay in paying off in the past,radio/television,4463,<100,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,12,existing credits paid back duly till now,radio/television,776,<100,"3:[1,4 years)",4,male: married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,0
<0,30,existing credits paid back duly till now,furniture/equipment,2406,<100,"4:[4,7 years)",4,female: divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,1
"[0,200)",18,existing credits paid back duly till now,education,1239,unknown/no savings account,"3:[1,4 years)",4,male: single,none,4,unknown / no property,61,none,for free,1,skilled employee/official,1,no,yes,0
200+,12,existing credits paid back duly till now,radio/television,3399,unknown/no savings account,5:7+ years,2,male: single,none,3,"if not A121/A122 : car or other, not in attribute",37,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
200+,12,delay in paying off in the past,ar (new),2247,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",36,stores,own,2,skilled employee/official,1,yes,yes,0
no,6,existing credits paid back duly till now,furniture/equipment,1766,<100,"3:[1,4 years)",1,male: married/widowed,none,2,if not A121 : building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,0
<0,18,existing credits paid back duly till now,furniture/equipment,2473,<100,1:unemployed,4,male: single,none,1,"if not A121/A122 : car or other, not in attribute",25,none,own,1,unemployed/unskilled non-resident,1,no,yes,1
no,12,existing credits paid back duly till now,business,1542,<100,"4:[4,7 years)",2,male: single,none,4,"if not A121/A122 : car or other, not in attribute",36,none,own,1,skilled employee/official,1,yes,yes,0
no,18,critical account/other credits existing (not at this bank),car (used),3850,<100,"4:[4,7 years)",3,male: single,none,1,"if not A121/A122 : car or other, not in attribute",27,none,own,2,skilled employee/official,1,no,yes,0
<0,18,existing credits paid back duly till now,furniture/equipment,3650,<100,2:<1 year,1,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",22,none,rent,1,skilled employee/official,1,no,yes,0
<0,36,existing credits paid back duly till now,furniture/equipment,3446,<100,5:7+ years,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",42,none,own,1,skilled employee/official,2,no,yes,1
"[0,200)",18,existing credits paid back duly till now,furniture/equipment,3001,<100,"4:[4,7 years)",2,female: divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,no,yes,0
no,36,existing credits paid back duly till now,ar (new),3079,unknown/no savings account,"3:[1,4 years)",4,male: single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,0
